Date,Adj_Close,Close,High,Low,Open,Volume
1996-10-07,49.8399,70.4218,70.625,70.25,70.3125,235100
1996-10-08,49.6409,70.1406,70.6875,70.0156,70.4531,386200
1996-10-09,49.2538,69.5937,70.375,69.5156,70.25,528800
1996-10-10,49.1543,69.4531,69.8593,69.375,69.5937,1562200
1996-10-11,49.7625,70.3125,70.3125,69.7187,69.7187,331300
1996-10-14,49.8288,70.4062,70.6875,70.2968,70.3125,201600
1996-10-15,49.7625,70.3125,71.125,69.9531,71.125,776900
1996-10-16,50.0058,70.6562,70.6562,69.9375,70.5,590100
1996-10-17,50.1385,70.8437,71.0312,70.5468,70.875,792500
1996-10-18,50.4039,71.2187,71.3125,70.7187,70.875,695800
1996-10-21,50.3376,71.125,71.625,70.9375,71.2812,879200
1996-10-22,49.9837,70.625,71.0781,70.5937,71.0625,848900
1996-10-23,50.1495,70.8593,70.8906,70.1875,70.4687,735900
1996-10-24,49.7183,70.25,70.9843,70.2187,70.8593,379300
1996-10-25,49.7625,70.3125,70.5625,70.125,70.2343,568300
1996-10-28,49.4307,69.8437,70.7343,69.8125,70.375,975400
1996-10-29,49.8288,70.4062,70.5781,69.7031,70.0625,815900
1996-10-30,49.6629,70.1718,70.625,70.0937,70.625,495400
1996-10-31,50.1385,70.8437,70.875,70.1875,70.2656,726300
1996-11-01,49.9615,70.5937,71.1562,70.2656,70.9843,821300
1996-11-04,50.2933,71.0625,71.0625,70.5312,70.6875,1608400
1996-11-05,50.5808,71.4687,71.7968,71.2812,71.2968,764000
1996-11-06,51.5539,72.8437,72.875,71.5312,71.5937,1665000
1996-11-07,51.6756,73.0156,73.2968,72.5312,72.625,1446300
1996-11-08,51.9631,73.4218,73.4375,72.75,73.0312,1355700
1996-11-11,51.9078,73.3437,73.5156,73.2187,73.25,655900
1996-11-12,51.753,73.125,73.5937,73.0156,73.5468,719900
1996-11-13,51.9852,73.4531,73.5625,73.0156,73.2031,481900
1996-11-14,52.3281,73.9375,73.9375,73.1562,73.1875,558800
1996-11-15,52.3944,74.0312,74.5,73.7187,74.125,2250900
